id,batteryHealth,binId,binStatus,currentFillLevel,latLong,timesTamp
20774,95,CleanFLEX-FB2000002005AB70,Full,72,"-33.919555, 151.258164","2021-10-24 13:00:04"
20775,95,CleanFLEX-FB2000002005AB71,Low,23,"-33.922367, 151.256956","2021-10-24 13:00:04"
20776,10,CleanFLEX-FB2000002008AC18,Low,7,"-33.919555, 151.258164","2021-10-24 13:00:04"
20777,95,CleanFLEX-FB2000002005AB62,Low,21,"-33.91947, 151.257542","2021-10-24 13:00:04"
20778,10,CleanFLEX-FB2000002008AC16,Low,10,"-33.919477, 151.257681","2021-10-24 13:00:04"
20779,95,CleanCUBE-A1808201809AA03,"Half Full",40,NULL,"2021-10-24 13:00:04"
20780,100,CleanCUBE-A1905081905AA00,Low,16,NULL,"2021-10-24 13:00:04"
20781,10,CleanFLEX-FB2000002008AC00,Full,89,"-33.918951, 151.25847","2021-10-24 13:00:04"
20782,100,CleanFLEX-FB2000001911AA87,Full,100,NULL,"2021-10-24 13:00:04"
20783,100,CleanFLEX-FB2000001911AA88,Full,100,NULL,"2021-10-24 13:00:04"
20784,100,CleanFLEX-FB2000001911AA91,Full,100,NULL,"2021-10-24 13:00:04"
20785,100,CleanCUBE-A1905081905AA06,Low,13,NULL,"2021-10-24 13:00:04"
20786,100,CleanCUBE-A1905081905AA09,Low,14,NULL,"2021-10-24 13:00:04"
20787,95,CleanCUBE-A1905081905AA13,Low,17,NULL,"2021-10-24 13:00:04"
20788,100,CleanCUBE-A1907221908AA73,Low,0,NULL,"2021-10-24 13:00:04"
20789,10,CleanFLEX-FB2000002008AC10,"Half Full",36,"-33.920227, 151.257692","2021-10-24 13:00:04"
20790,10,CleanFLEX-FB2000002008AC13,"Half Full",52,"-33.920034, 151.257165","2021-10-24 13:00:04"
20791,10,CleanFLEX-FB2000002008AC04,Full,74,"-33.919505, 151.257857","2021-10-24 13:00:04"
20792,10,CleanFLEX-FB2000002008AC06,Full,88,"-33.91947, 151.257542","2021-10-24 13:00:04"
20793,10,CleanFLEX-FB2000002008AC19,Low,18,"-33.920289, 151.257056","2021-10-24 13:00:04"
20794,10,CleanFLEX-FB2000002008AC09,Low,10,"-33.919135, 151.258104","2021-10-24 13:00:04"
20795,100,CleanCUBE-A1905081905AA19,Low,10,NULL,"2021-10-24 13:00:04"
20796,95,CleanFLEX-FB2000002005AB66,"Half Full",35,"-33.920944, 151.257001","2021-10-24 13:00:04"
20797,95,CleanFLEX-FB2000002005AB64,Full,77,"-33.920816, 151.257022","2021-10-24 13:00:04"
20798,10,CleanFLEX-FB2000002008AC20,Low,17,"-33.920372, 151.257036","2021-10-24 13:00:04"
20799,95,CleanCUBE-A1811211812AA04,Low,0,NULL,"2021-01-23 04:00:03"
20800,100,CleanCUBE-D1905281906AA03,"Half Full",42,NULL,"2021-01-23 04:00:03"
20801,95,CleanCUBE-A1905081905AA02,Low,0,NULL,"2021-10-24 14:00:04"
20802,10,CleanFLEX-FB2000002008AC01,"Half Full",42,"-33.919135, 151.258104","2021-10-24 14:00:04"
20803,10,CleanFLEX-FB2000002008AC02,Full,100,"-33.920227, 151.257692","2021-10-24 14:00:04"
20804,10,CleanFLEX-FB2000002008AC03,Low,11,"-33.918951, 151.25847","2021-10-24 14:00:04"
20805,95,CleanCUBE-A1905081905AA07,"Half Full",55,NULL,"2021-10-24 14:00:04"
20806,100,CleanFLEX-FB2000001911AA89,Full,92,NULL,"2021-10-24 14:00:04"
20807,10,CleanFLEX-FB1000001906AA19,Full,100,NULL,"2021-10-24 14:00:04"
20808,10,CleanFLEX-FB1000001906AA18,Low,14,NULL,"2021-10-24 14:00:04"
20809,95,CleanFLEX-FB2000002005AB67,"Half Full",59,"-33.920816, 151.257022","2021-10-24 14:00:04"
20810,10,CleanFLEX-FB2000002008AC05,"Half Full",40,"-33.919505, 151.257857","2021-10-24 14:00:04"
20811,95,CleanFLEX-FB2000002005AB63,Low,22,"-33.919505, 151.257857","2021-10-24 14:00:04"
20812,10,CleanFLEX-FB2000002008AC12,Low,3,"-33.919727, 151.257213","2021-10-24 14:00:04"
20813,10,CleanFLEX-FB2000002008AC17,Low,15,"-33.91947, 151.257542","2021-10-24 14:00:04"
20814,95,CleanFLEX-FB2000002005AB68,Low,29,"-33.919477, 151.257681","2021-10-24 14:00:04"
20815,95,CleanFLEX-FB2000002005AB71,Low,23,"-33.922367, 151.256956","2021-10-24 14:00:04"
20816,95,CleanFLEX-FB2000002008AC08,"Half Full",42,"-33.919477, 151.257681","2021-10-24 14:00:04"
20817,10,CleanFLEX-FB2000002008AC07,"Half Full",33,"-33.919555, 151.258164","2021-10-24 14:00:04"
20818,10,CleanFLEX-FB2000002008AC14,"Half Full",46,"-33.920358, 151.257167","2021-10-24 14:00:04"
20819,100,CleanFLEX-FB2000001911AA90,Full,100,NULL,"2021-10-24 14:00:04"
20820,95,CleanCUBE-A1905081905AA26,Low,5,NULL,"2021-10-24 14:00:04"
20821,95,CleanFLEX-FB2000002005AB65,"Half Full",63,"-33.920944, 151.257001","2021-10-24 14:00:04"
20822,95,CleanFLEX-FB2000002005AB69,"Half Full",54,"-33.920227, 151.257692","2021-10-24 14:00:04"
20823,95,CleanFLEX-FB2000002005AB70,Full,73,"-33.919555, 151.258164","2021-10-24 14:00:04"
20824,10,CleanFLEX-FB2000002008AC15,Low,27,"-33.920358, 151.257167","2021-10-24 14:00:04"
20825,10,CleanFLEX-FB2000002008AC18,Low,7,"-33.919555, 151.258164","2021-10-24 14:00:04"
20826,95,CleanFLEX-FB2000002005AB62,Low,21,"-33.91947, 151.257542","2021-10-24 14:00:04"
20827,10,CleanFLEX-FB2000002008AC16,Low,10,"-33.919477, 151.257681","2021-10-24 14:00:04"
