id,batteryHealth,binId,binStatus,currentFillLevel,latLong,timesTamp
5262,95,CleanCUBE-A1905081905AA07,"Half Full",55,NULL,"2021-10-11 12:00:05"
5263,100,CleanFLEX-FB2000001911AA89,Full,92,NULL,"2021-10-11 12:00:05"
5264,10,CleanFLEX-FB1000001906AA18,Low,14,NULL,"2021-10-11 12:00:05"
5265,95,CleanCUBE-A1807111808AA01,Low,13,NULL,"2021-10-11 12:00:05"
5266,100,CleanFLEX-FB2000002008AC14,Low,21,"-33.920358, 151.257167","2021-10-11 12:00:05"
5267,100,CleanFLEX-FB2000002008AC15,Low,17,"-33.920358, 151.257167","2021-10-11 12:00:05"
5268,10,CleanFLEX-FB2000002008AC07,"Half Full",33,"-33.919555, 151.258164","2021-10-11 12:00:05"
5269,95,CleanFLEX-FB2000002008AC08,Low,17,"-33.919477, 151.257681","2021-10-11 12:00:05"
5270,100,CleanFLEX-FB2000001911AA90,Full,100,NULL,"2021-10-11 12:00:05"
5271,95,CleanCUBE-A1905081905AA26,Low,9,NULL,"2021-10-11 12:00:05"
5272,95,CleanFLEX-FB2000002005AB62,"Half Full",30,"-33.91947, 151.257542","2021-10-11 12:00:05"
5273,95,CleanFLEX-FB2000002005AB69,"Half Full",33,"-33.920227, 151.257692","2021-10-11 12:00:05"
5274,35,CleanFLEX-FB2000002008AC16,Full,96,"-33.919477, 151.257681","2021-10-11 12:00:05"
5275,95,CleanFLEX-FB2000002005AB70,Low,22,"-33.919555, 151.258164","2021-10-11 12:00:05"
5276,95,CleanFLEX-FB2000002005AB65,Low,15,"-33.920944, 151.257001","2021-10-11 12:00:05"
5277,95,CleanFLEX-FB2000002005AB71,Low,10,"-33.922367, 151.256956","2021-10-11 12:00:05"
5278,10,CleanFLEX-FB2000002008AC18,Low,7,"-33.919555, 151.258164","2021-10-11 12:00:05"
5279,95,CleanCUBE-A1808201809AA03,Low,24,NULL,"2021-10-11 12:00:05"
5280,100,CleanCUBE-A1905081905AA00,Low,16,NULL,"2021-10-11 12:00:05"
5281,100,CleanCUBE-A1907221908AA73,"Half Full",60,NULL,"2021-10-11 12:00:05"
5282,100,CleanFLEX-FB2000001911AA87,Full,100,NULL,"2021-10-11 12:00:05"
5283,100,CleanFLEX-FB2000001911AA88,Full,100,NULL,"2021-10-11 12:00:05"
5284,100,CleanCUBE-A1905081905AA06,Low,13,NULL,"2021-10-11 12:00:05"
5285,100,CleanCUBE-A1905081905AA09,Low,9,NULL,"2021-10-11 12:00:05"
5286,95,CleanCUBE-A1905081905AA13,Low,14,NULL,"2021-10-11 12:00:05"
5287,100,CleanCUBE-A1905081905AA19,Low,3,NULL,"2021-10-11 12:00:05"
5288,10,CleanFLEX-FB2000002008AC10,"Half Full",36,"-33.920227, 151.257692","2021-10-11 12:00:05"
5289,10,CleanFLEX-FB2000002008AC13,"Half Full",41,"-33.920034, 151.257165","2021-10-11 12:00:05"
5290,10,CleanFLEX-FB2000002008AC00,Full,89,"-33.918951, 151.25847","2021-10-11 12:00:05"
5291,10,CleanFLEX-FB2000002008AC04,Full,74,"-33.919505, 151.257857","2021-10-11 12:00:05"
5292,100,CleanFLEX-FB2000002008AC06,Full,88,"-33.91947, 151.257542","2021-10-11 12:00:05"
5293,10,CleanFLEX-FB2000002008AC20,Low,17,"-33.920372, 151.257036","2021-10-11 12:00:05"
5294,10,CleanFLEX-FB2000002008AC19,Low,18,"-33.920289, 151.257056","2021-10-11 12:00:05"
5295,10,CleanFLEX-FB2000002008AC09,Low,10,"-33.919135, 151.258104","2021-10-11 12:00:05"
5296,100,CleanFLEX-FB2000001911AA91,Full,100,NULL,"2021-10-11 12:00:05"
5297,95,CleanFLEX-FB2000002005AB64,"Half Full",61,"-33.920816, 151.257022","2021-10-11 12:00:05"
5298,95,CleanFLEX-FB2000002005AB66,Low,14,"-33.920944, 151.257001","2021-10-11 12:00:05"
5299,95,CleanCUBE-A1811211812AA04,Low,0,NULL,"2021-01-23 04:00:03"
5300,100,CleanCUBE-D1905281906AA03,"Half Full",42,NULL,"2021-01-23 04:00:03"
5301,95,CleanCUBE-A1905081905AA02,Low,0,NULL,"2021-10-11 13:00:05"
5302,95,CleanCUBE-A1905081905AA07,"Half Full",55,NULL,"2021-10-11 13:00:05"
5303,10,CleanFLEX-FB1000001906AA18,Low,14,NULL,"2021-10-11 13:00:05"
5304,10,CleanFLEX-FB2000002008AC05,"Half Full",40,"-33.919505, 151.257857","2021-10-11 13:00:05"
5305,100,CleanFLEX-FB2000002008AC17,Low,13,"-33.91947, 151.257542","2021-10-11 13:00:05"
5306,95,CleanFLEX-FB2000002005AB63,Low,10,"-33.919505, 151.257857","2021-10-11 13:00:05"
5307,95,CleanFLEX-FB2000002005AB67,Low,19,"-33.920816, 151.257022","2021-10-11 13:00:05"
5308,95,CleanFLEX-FB2000002005AB68,Low,29,"-33.919477, 151.257681","2021-10-11 13:00:05"
5309,10,CleanFLEX-FB2000002008AC12,Low,3,"-33.919727, 151.257213","2021-10-11 13:00:05"
5310,10,CleanFLEX-FB2000002008AC01,"Half Full",42,"-33.919135, 151.258104","2021-10-11 13:00:05"
5311,10,CleanFLEX-FB2000002008AC02,Full,100,"-33.920227, 151.257692","2021-10-11 13:00:05"
5312,10,CleanFLEX-FB2000002008AC03,Low,11,"-33.918951, 151.25847","2021-10-11 13:00:05"
5313,100,CleanFLEX-FB2000001911AA89,Full,92,NULL,"2021-10-11 13:00:05"
5314,10,CleanFLEX-FB1000001906AA19,Full,100,NULL,"2021-10-11 13:00:05"
5315,10,CleanFLEX-FB2000002008AC07,"Half Full",33,"-33.919555, 151.258164","2021-10-11 13:00:05"
5316,100,CleanFLEX-FB2000001911AA90,Full,100,NULL,"2021-10-11 13:00:05"
5317,95,CleanCUBE-A1807111808AA01,Low,13,NULL,"2021-10-11 13:00:05"
5318,95,CleanCUBE-A1905081905AA26,Low,9,NULL,"2021-10-11 13:00:05"
5319,95,CleanFLEX-FB2000002005AB62,"Half Full",31,"-33.91947, 151.257542","2021-10-11 13:00:05"
5320,95,CleanFLEX-FB2000002005AB69,"Half Full",33,"-33.920227, 151.257692","2021-10-11 13:00:05"
5321,95,CleanFLEX-FB2000002005AB70,Low,22,"-33.919555, 151.258164","2021-10-11 13:00:05"
5322,100,CleanFLEX-FB2000002008AC15,Low,17,"-33.920358, 151.257167","2021-10-11 13:00:05"
5323,35,CleanFLEX-FB2000002008AC16,Full,96,"-33.919477, 151.257681","2021-10-11 13:00:05"
5324,95,CleanFLEX-FB2000002005AB65,Low,15,"-33.920944, 151.257001","2021-10-11 13:00:05"
5325,95,CleanFLEX-FB2000002005AB71,Low,10,"-33.922367, 151.256956","2021-10-11 13:00:05"
5326,100,CleanFLEX-FB2000002008AC14,Low,21,"-33.920358, 151.257167","2021-10-11 13:00:05"
